CodCliente,Departamento,Municipio,Credito,Venta,Venta_Credito,Venta_Contado,Veces_Compra,SKUE,Desc,CATE,Veces_Compra_Desc,Veces_Compra_Cred,Veces_Compra_Cont, TicketProm ,%_Desc,%_Compra_Desc
412976,Managua,MANAGUA,No,"1,449.85",0,"1,449.85",13,51,0,12,0,0,13,111.53,0.00%,0.00%
436685,Chontales,SAN PEDRO DE LOVAGO,No,"1,442.37",0,"1,442.37",6,38,0,13,0,0,6,240.4,0.00%,0.00%
408615,Jinotega,SANTA MARIA DE PANTASMA,No,"1,442.35",0,"1,442.35",1,2,0,1,0,0,1,"1,442.35",0.00%,0.00%
444016,Managua,TICUANTEPE,No,"1,439.94",0,"1,439.94",6,10,0,4,0,0,6,239.99,0.00%,0.00%
401078,Managua,MANAGUA,No,"1,436.02",0,"1,436.02",13,35,0,11,0,0,13,110.46,0.00%,0.00%
445115,Managua,SAN RAFAEL DEL SUR,No,"1,435.00",0,"1,435.00",13,22,9.96,8,1,0,13,110.38,0.69%,7.69%
404712,Rivas,POTOSI,No,"1,431.32",0,"1,431.32",11,28,0,10,0,0,11,130.12,0.00%,0.00%
443048,Masaya,LA CONCEPCION,No,"1,430.17",0,"1,430.17",12,21,0.3,9,2,0,12,119.18,0.02%,16.67%
437250,Atlántico Sur,NUEVA GUINEA,No,"1,430.04",0,"1,430.04",6,21,0,9,0,0,6,238.34,0.00%,0.00%
435702,Managua,MANAGUA,No,"1,428.21",0,"1,428.21",10,8,0,3,0,0,10,142.82,0.00%,0.00%
402185,Rivas,RIVAS,No,"1,426.42",0,"1,426.42",13,21,0,8,0,0,13,109.72,0.00%,0.00%
435992,Jinotega,SAN SEBASTIAN DE YALI,No,"1,422.04",0,"1,422.04",6,14,0.39,6,1,0,6,237.01,0.03%,16.67%
443514,León,LA PAZ CENTRO,No,"1,414.19",0,"1,414.19",13,28,0,8,0,0,13,108.78,0.00%,0.00%
424612,Managua,MANAGUA,No,"1,414.05",0,"1,414.05",10,25,0.74,10,1,0,10,141.41,0.05%,10.00%
417018,León,LEON,Si,"1,407.11","1,407.11",0,6,13,0,6,0,6,0,234.52,0.00%,0.00%
422694,Managua,MANAGUA,No,"1,406.26",0,"1,406.26",12,9,0,9,0,0,12,117.19,0.00%,0.00%
448957,Managua,MANAGUA,No,"1,404.83",0,"1,404.83",12,4,0,3,0,0,12,117.07,0.00%,0.00%
445657,Masaya,MASAYA,Si,"1,404.59","1,404.59",0,6,24,5.13,9,1,6,0,234.1,0.37%,16.67%
409430,León,NAGAROTE,No,"1,404.39",0,"1,404.39",12,26,0,9,0,0,12,117.03,0.00%,0.00%
442981,Nueva Segovia,OCOTAL,No,"1,402.77",0,"1,402.77",6,12,0,6,0,0,6,233.8,0.00%,0.00%
432527,Estelí,PUEBLO NUEVO,No,"1,400.28",0,"1,400.28",11,10,0,3,0,0,11,127.3,0.00%,0.00%
449893,Rivas,SAN JUAN DEL SUR,No,"1,398.64",0,"1,398.64",12,17,0,9,0,0,12,116.55,0.00%,0.00%
405747,Rivas,RIVAS,No,"1,396.70",0,"1,396.70",10,16,0,5,0,0,10,139.67,0.00%,0.00%
414861,Masaya,MASAYA,No,"1,396.30",0,"1,396.30",13,12,0,5,0,0,13,107.41,0.00%,0.00%
413179,Managua,MANAGUA,No,"1,395.46",0,"1,395.46",10,27,0,6,0,0,10,139.55,0.00%,0.00%
436796,Chontales,LA LIBERTAD,No,"1,394.24",0,"1,394.24",7,33,0.08,10,1,0,7,199.18,0.01%,14.29%
404480,Chinandega,PUERTO MORAZAN,Si,"1,394.09","1,394.09",0,5,31,1.52,10,3,5,0,278.82,0.11%,60.00%
441012,Chinandega,PUERTO MORAZAN,No,"1,391.82",0,"1,391.82",12,37,0,9,0,0,12,115.99,0.00%,0.00%
441666,Matagalpa,CIUDAD DARIO,No,"1,389.55",0,"1,389.55",9,25,0.1,8,1,0,9,154.39,0.01%,11.11%
431846,Managua,MANAGUA,No,"1,387.48",0,"1,387.48",12,4,0,2,0,0,12,115.62,0.00%,0.00%
423337,Managua,MANAGUA,No,"1,385.50",0,"1,385.50",8,14,0,6,0,0,8,173.19,0.00%,0.00%
425610,Nueva Segovia,EL JICARO,No,"1,385.26",0,"1,385.26",8,23,0,8,0,0,8,173.16,0.00%,0.00%
440796,Masaya,TISMA,No,"1,380.98",0,"1,380.98",13,18,9.87,8,8,0,13,106.23,0.71%,61.54%
444780,Managua,MANAGUA,No,"1,376.38",0,"1,376.38",12,77,0.8,11,2,0,12,114.7,0.06%,16.67%
402391,Managua,MANAGUA,No,"1,374.38",0,"1,374.38",12,23,0.15,9,1,0,12,114.53,0.01%,8.33%
432012,Managua,MANAGUA,No,"1,373.91",0,"1,373.91",11,23,4.2,9,9,0,11,124.9,0.31%,81.82%
423542,Granada,NANDAIME,No,"1,370.55",0,"1,370.55",9,3,0,3,0,0,9,152.28,0.00%,0.00%
415088,Estelí,ESTELI,No,"1,368.44",0,"1,368.44",10,39,0,11,0,0,10,136.84,0.00%,0.00%
